filename,path,source,city,grid,split,data_type,terrain
DC_01_25_RGB.h5,data\GAMUS\images\train\DC_01_25_RGB.h5,GAMUS,DC,01_25,train,images,government_urban
DC_02_24_RGB.h5,data\GAMUS\images\train\DC_02_24_RGB.h5,GAMUS,DC,02_24,train,images,government_urban
DC_02_25_RGB.h5,data\GAMUS\images\train\DC_02_25_RGB.h5,GAMUS,DC,02_25,train,images,government_urban
DC_02_27_RGB.h5,data\GAMUS\images\train\DC_02_27_RGB.h5,GAMUS,DC,02_27,train,images,government_urban
DC_03_23_RGB.h5,data\GAMUS\images\train\DC_03_23_RGB.h5,GAMUS,DC,03_23,train,images,government_urban
DC_03_24_RGB.h5,data\GAMUS\images\train\DC_03_24_RGB.h5,GAMUS,DC,03_24,train,images,government_urban
DC_03_25_RGB.h5,data\GAMUS\images\train\DC_03_25_RGB.h5,GAMUS,DC,03_25,train,images,government_urban
DC_03_27_RGB.h5,data\GAMUS\images\train\DC_03_27_RGB.h5,GAMUS,DC,03_27,train,images,government_urban
DC_03_28_RGB.h5,data\GAMUS\images\train\DC_03_28_RGB.h5,GAMUS,DC,03_28,train,images,government_urban
DC_04_24_RGB.h5,data\GAMUS\images\train\DC_04_24_RGB.h5,GAMUS,DC,04_24,train,images,government_urban
DC_04_25_RGB.h5,data\GAMUS\images\train\DC_04_25_RGB.h5,GAMUS,DC,04_25,train,images,government_urban
DC_04_26_RGB.h5,data\GAMUS\images\train\DC_04_26_RGB.h5,GAMUS,DC,04_26,train,images,government_urban
DC_04_28_RGB.h5,data\GAMUS\images\train\DC_04_28_RGB.h5,GAMUS,DC,04_28,train,images,government_urban
DC_05_20_RGB.h5,data\GAMUS\images\train\DC_05_20_RGB.h5,GAMUS,DC,05_20,train,images,government_urban
DC_05_21_RGB.h5,data\GAMUS\images\train\DC_05_21_RGB.h5,GAMUS,DC,05_21,train,images,government_urban
DC_05_26_RGB.h5,data\GAMUS\images\train\DC_05_26_RGB.h5,GAMUS,DC,05_26,train,images,government_urban
DC_05_27_RGB.h5,data\GAMUS\images\train\DC_05_27_RGB.h5,GAMUS,DC,05_27,train,images,government_urban
DC_05_29_RGB.h5,data\GAMUS\images\train\DC_05_29_RGB.h5,GAMUS,DC,05_29,train,images,government_urban
DC_06_20_RGB.h5,data\GAMUS\images\train\DC_06_20_RGB.h5,GAMUS,DC,06_20,train,images,government_urban
DC_06_21_RGB.h5,data\GAMUS\images\train\DC_06_21_RGB.h5,GAMUS,DC,06_21,train,images,government_urban
DC_06_26_RGB.h5,data\GAMUS\images\train\DC_06_26_RGB.h5,GAMUS,DC,06_26,train,images,government_urban
DC_06_27_RGB.h5,data\GAMUS\images\train\DC_06_27_RGB.h5,GAMUS,DC,06_27,train,images,government_urban
DC_06_28_RGB.h5,data\GAMUS\images\train\DC_06_28_RGB.h5,GAMUS,DC,06_28,train,images,government_urban
DC_06_29_RGB.h5,data\GAMUS\images\train\DC_06_29_RGB.h5,GAMUS,DC,06_29,train,images,government_urban
DC_06_30_RGB.h5,data\GAMUS\images\train\DC_06_30_RGB.h5,GAMUS,DC,06_30,train,images,government_urban
DC_06_31_RGB.h5,data\GAMUS\images\train\DC_06_31_RGB.h5,GAMUS,DC,06_31,train,images,government_urban
DC_07_19_RGB.h5,data\GAMUS\images\train\DC_07_19_RGB.h5,GAMUS,DC,07_19,train,images,government_urban
DC_07_20_RGB.h5,data\GAMUS\images\train\DC_07_20_RGB.h5,GAMUS,DC,07_20,train,images,government_urban
DC_07_27_RGB.h5,data\GAMUS\images\train\DC_07_27_RGB.h5,GAMUS,DC,07_27,train,images,government_urban
DC_07_28_RGB.h5,data\GAMUS\images\train\DC_07_28_RGB.h5,GAMUS,DC,07_28,train,images,government_urban
